study_id,study_title,study_publication_year,study_evidence_type,offset_category_general,continent,country,subnational_region,subnational_region_type,species_common_name,species_scientific_name,species_taxonomic_group,ecosystem_type,ecosystem_broad_type,project_type,project_broad_type,program_name,program_type,program_mechanism_type,program_status,program_scope_level,program_scope_location,program_related,project_delivery_type,policy_name,policy_type,policy_note,policy_jurisdiction_level,policy_jurisdiction_note,policy_jurisdiction_location,policy_status,policy_year_adopted,policy_description,permanence_risk_domain,permanence_risk_category,permanence_risk_type,permanence_risk_evidence_and_reasoning
31,Compliance with Canada's Fisheries Act: A Field Audit of Habitat Compensation Projects,2006,direct empirical,biodiversity,North America,Canada,British Columbia; Manitoba; Ontario; New Brunswick; Nova Scotia,Province,NA,NA,NA,riverine habitat; in-channel fluvial habitat; off-channel fluvial habitat; marine habitat; estuarine habitat; lacustrine habitat; riparian,Freshwater; Coastal/Marine,habitat creation; habitat enhancement,Creation; Enhancement,Canada Fisheries Act Offsetting,compliance,permitting,active,national,Canada,NA,Permittee-Responsible,Canada Fisheries Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,Canada,active,1985,Federal act regulating the protection and conservation of fish and fish habitat; key offsetting provisions under s.35.,non-physical; methodological,"Compliance, Legal, and Governance Risks; Misaligned Metrics, Standards, and Performance Criteria; Ecological Design and Implementation Failures",Policy Non-compliance; Weak Performance Standards; Poor Ecological Design,"Compliance with Section 35(2) Fisheries Act authorisations across Canada was clearly poor. Interestingly, requirements that had the least influence on fish and fish habitat (construction specifications) had one of the highest compliance rates, whereas compliance with biological requirements, which have direct benefits to fish and fish habitat, was the lowest. Across Canada, we consistently found that riparian habitat compensation was not sufficient to offset habitat losses. In fact, virtually all of the projects audited had either a larger HADD and/or smaller compensation in the riparian habitat category. Riparian habitat is the most frequently affected habitat category by HADDs in Canada (Harper and Quigley 2005b); yet it appears to be the most difficult to compensate for based upon the prevalence of remedial measures requested for riparian compensation (Harper and Quigley 2005b) and the poor compliance we observed. Disproportionate loss of riparian habitats relative to other habitat types has been problematic in the United States as well, according to reviews of compensatory mitigation through Section 404 of the Clean Water Act (Kunz and others 1988; Sifneos and others 1992a; Cole and Shafer 2002).

Noncompliance with HADD and compensation areas contributed to substantial losses of habitat. The prevalence and magnitude of larger HADD areas and smaller compensatory works far exceeded the gains in fish habitat due to authorisations with smaller HADD areas or larger compensation. Habitat loss as a result of improperly installed or designed compensatory structures (e.g., perched culverts, impassable weirs, dry channels) was also considerable. In many cases, these habitat losses exceeded the original HADD that necessitated the compensation habitat. Poorly designed compensatory works also caused habitat fragmentation by obstructing or impeding juvenile migration, resulting in isolation of individuals from the rest of the population. Clearly, the limited amount and qualitative nature of monitoring (Harper and Quigley 2005a, 2005b) and enforcement (Drodge and others 1999) have constrained the achievement of NNL .In general, there appears to be a dearth of expertise in compensatory science in Canada, likely due to the lack of monitoring (Drodge and others 1999; Harper and Quigley 2005a, 2005b) and subsequent adaptive management. In some instances, poorly designed compensatory works resulted in negative impacts to fish habitat. These additional HADDs were due to a lack of expertise on behalf of proponents, consultants, or community groups (community groups receiving cash to implement compensatory projects). Many cases could likely have been prevented with a hydrological and engineering review of compensation proposals by DFO. 

Ambiguous requirements and authorisation contradictions also contributed to large losses of habitat at compensation sites. Many authorisations contained open-ended requirements such as “the proponent shall monitor water temperature and measure vegetative cover,” rather than provide measurable thresholds based on parametric and dimensioned units in reference sites. Poorly defined requirements gave rise to situations where proponents were entirely compliant (e.g., the channel was physically stable) yet functional success of the compensation habitat was doubtful (e.g., the channel was dry and disconnected from the watershed)."
32,Compliance with Regulatory Performance Standards in Wetland Mitigation Banks,2024,direct empirical,biodiversity,North America,United States of America,Illinois,State,NA,NA,NA,open herbaceous wetland; marsh; sedge meadow/wet prairie; mesic prairie buffer; wet meadow,Wetland; Grassland,wetland creation; wetland restoration,Creation; Restoration,US Mitigation Banking,compliance,banking,active,national,USA,NA,Mitigation Banking,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,physical; methodological; non-physical,"Climate and Environmental Disturbances; Ecological Design and Implementation Failures; Compliance, Legal, and Governance Risks","Invasive Species, Insects, and Pathogens; Implementation Failures; Policy Non-compliance","No standard, in any habitat type, was met by every bank (Table 2). Bank performance was lowest for the standard limiting invasive and non-native species to 5% of overall relative importance value, with fewer than 12% of banks meeting this standard for each plant community. For each plant community, the mean invasive relative importance value was at least 17% of overall abundance and was, statistically, significantly higher (P < 0.05) than the 5% threshold for this standard (Fig. 1B; Table 3). Comparing the two standards restricting invasive species, compliance was much higher for the invasive dominant species standard than for the invasive importance standard in wet meadow and buffer sites, though the dominant species standard remained very difficult for banks to meet in marsh habitats, with only one third of marsh sites meeting the performance threshold (Table 2). 

It is clear from our study that wetland mitigation bank sponsors in Chicago struggled to limit the presence and abundance of invasive species to levels acceptable to the IRT. Banks failed to meet the performance standard limiting relative importance value of invasive and non-native species far more than any of the other standards we assessed, as this standard was unmet in nearly 89% of marsh sites, 90% of wet meadow sites, and 100% of buffer sites. Other studies have shown that, like wetland mitigation banks, permittee-responsible mitigation wetlands also frequently fail to meet performance standards related to non-native dominance (Kozich and Halvorsen 2012; Van den Bosch and Matthews 2017).

Included in the mitigation bank monitoring reports we reviewed were summaries of the management activities performed in banks, which included hand weeding, herbicide application, mowing, and fire. These showed that bank sponsors generally made consistent efforts to manage and remove non-native species from banks; however, our data show that these efforts were typically inadequate to bring banks into compliance with the performance threshold required for non-native dominance."
33,"Compliance with Wetland Mitigation Standards in the Upper Peninsula of Michigan, USA",2012,direct empirical,biodiversity,North America,United States of America,Michigan,State,NA,NA,NA,wetland,Wetland,wetland creation; wetland restoration,Creation; Restoration,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404; Michigan NREPA Part 303,legislation,Statutory law passed by a legislature.,national; subnational,"Applies to a single country at federal level.; Applies to states, provinces, or regions.",USA,active,1972; 1994,"Section 404 governs permitting for wetland and stream impacts.; Regulates wetlands protection in Michigan, including permitting and mitigation provisions.",physical; non-physical,"Climate and Environmental Disturbances; Compliance, Legal, and Governance Risks","Invasive Species, Insects, and Pathogens; Policy Non-compliance; Insufficient Legal Protections","Forty-six percent of files were out of compliance with monitoring report requirements, and forty-nine percent lacked required conservation easement documents. We also conducted site assessments of select compensatory wetland projects to determine compliance with MDEQ invasive plant species performance standards. Fifty-five percent were out of compliance. 

File document compliance rates varied widely by permittee class. The MDOT was most compliant with regard to monitoring (9 of 10), while county road commissions were the least compliant (3 of 10). Monitoring compliance rates for other/public and private permittee classes were comparable, at 45 and 50 % respectively. We found 19 of 37 files (51 %) compliant for conservation easement documents, with no discernable trends across permittee classes. 

The MDOT submitted monitoring reports for 90 % (9 of 10) of their compensatory wetland projects whose files we examined. We sampled five of these sites for compliance with invasive species standards and found 60 % (3 of 5) of sites compliant. County road commissions filed monitoring reports for 30 % (3 of 10) of their sites, and we found 40 % (2 of 6) of the sampled sites compliant for invasive species. Ultimately, we assessed 45 % (5 of 11) of all compensatory sites sampled “likely in compliance” with the MDEQ’s invasive species standard

Estimated total invasive cover ranged from 4 to 25 % across the 11 sites. Although we observed invasive species at every site, no site featured an individual species in abundance greater than cover-class 3 (5–25 % cover). Some species appear particularly problematic in the region. For instance, reed canary-grass (Phalaris arundinacea) was present at all sites and spotted knapweed (Centaurea maculosa) was present at 9 of 11 sites. Many sites had additional invasive species growing in the areas just beyond the wetland perimeter, which we noted in our records but did not include in our calculations of total cover.

Although we found an increase in monitoring report compliance since 2003, the difference was not significant and the MDEQ still appears to have difficulties achieving compliance with site monitoring requirements. Further, about half of the compensatory sites we examined had not yet been placed into conservation easement as required by the MDEQ. These wetlands are potentially at risk of future development without the permanent legal protection ensured by the conservation easement. If conservation easements are to be a useful mechanism to attain “No net loss” of wetlands, state and federal agencies should be concerned about the lack of permanent legal protection we revealed. In all, we found low compliance rates with all three mitigation policies we examined, indicating the ongoing challenges facing the MDEQ. Staff we spoke with suggested that their resources remain limited, particularly regarding personnel to inspect and follow-up on problem cases
"
34,Compliance with and ecosystem function of biodiversity offsets in North American and European freshwaters,2020,review and discussion,biodiversity,North America,United States of America; Canada,NA,NA,NA,NA,NA,wetland; lake; river; stream,Wetland; Freshwater,habitat restoration; habitat creation; habitat enhancement; wetland creation; wetland restoration; wetland enhancement; river restoration; stream restoration; lake restoration,Restoration; Creation; Enhancement,US CWA 404 Permitting; Canada Fisheries Act Offsetting,compliance,permitting,active,national,USA; Canada,NA,NA,US Clean Water Act Section 404; Canada Fisheries Act; EU Habitats Directive; EU Water Framework Directive,legislation; directive,Statutory law passed by a legislature.; EU legal instrument binding member states to objectives.,national; regional,Applies to a single country at federal level.; Applies across multiple countries within a region.,USA; Canada; EU,active,1972; 1985; 1992; 2000,Section 404 governs permitting for wetland and stream impacts.; Federal act regulating the protection and conservation of fish and fish habitat; key offsetting provisions under s.35.; Requires Member States to ensure conservation of habitats and species; includes obligation for compensatory measures (offsets) under Article 6.4.; Framework for protecting and restoring water bodies in the EU; may trigger offset-like mitigation where hydrological impacts are significant.,methodological; non-physical,"Ecological Design and Implementation Failures; Compliance, Legal, and Governance Risks",Implementation Failures; Policy Non-compliance,"Our results suggest compliance cannot be treated as equivalent to ecosystem function; offsetting projects benefit from increased ecosystem function when several, complementary management targets are in place; offsetting projects benefit from increased ecosystem function in larger projects; and creating novel ecosystems have underestimated challenges and uncertainties and thus lead to a higher risk of failure. Unsurprisingly, creating a new ecosystem had greater uncertainty than restoring an existing one. Ecosystem processes that involve nutrient cycling and food webs have to be established, and there is also a higher risk of introduction of invasive species during the assembly process (D'Avanzo 1989). This may explain the significant differences in success in ecosystem function between the United States and Canadian and European projects; 79% of U.S. projects involved wetlands in which a new ecosystem was created. In Europe, most projects were completed on riverine systems (86%) and relied heavily on restoration and enhancement, which resulted in good overall functionality.Large projects had significantly higher functionality than small projects (Fig. 3). One reason for this is the inability of small systems to become resilient. For instance, if a project in a small system fails, it often fails completely, whereas larger systems may have greater capacity and resiliency to offset for partial loss of function (Jähnig et al. 2010; Mant et al. 2016).

Among ecosystem types, compliance was the highest for river and lake projects (two-thirds of projects had full or overcompliance, mean score [SD] 1.81 [0.78] and 2.00 [0], respectively) and was significantly higher relative to wetland projects (mean 1.38 [0.98]) (Fig. 3a). Approximately 50% of wetland projects achieved compliance levels of 0 or 1 (Fig. 3a). Projects incorporating streams did not differ significantly from the other systems (Fig. 3a). Mean compliance was not significantly different among project scales and targets. Regionally, Canada had the highest compliance scores (mean 1.78 [1.18], 25% of projects were overcompliant), which were significantly higher than projects in the United States (mean 1.41 [0.91]) (Fig. 3a). Europe did not differ significantly in compliance from either Canada or the United States, although it had higher compliance than U.S. projects and the fewest projects with a compliance score of 0 (mean 1.71 [0.62]) (Fig. 3a)."
35,Compliance with biodiversity compensation on New Zealand's public conservation lands,2018,direct empirical,biodiversity,Oceania,New Zealand,NA,NA,NA,NA,NA,grassland; forest,Grassland; Forest,compensation payments; planting; weed control; pest control; species management,Miscellaneous Compensation; Species Management,NA,NA,NA,NA,NA,NA,NA,Permittee-Responsible,NZ Conservation Act; NZ Resource Management Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,New Zealand,active,1987; 1991,"Established the Department of Conservation and provides the framework for conservation of natural resources; while not an offsetting law, it underpins biodiversity management relevant to offsets.; Framework for land and environmental planning.",non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues; Political Risks","Policy Non-compliance; Weak Governance and Enforcement; Limited Data Transparency; Poor Management and Monitoring; Capacity, Expertise, and Resource Gaps; Weak Political Will and Enforcement","68% achieved full compliance (score 1) and 32% achieved less than full compliance (score 0), DOC does not yet appear to have a published compliance monitoring and enforcement strategy, as our results show, compliance reporting and data management are inconsistent. Only seven of the 20 cases had written records of compliance monitoring,the monitoring files were held in the various local offices where the monitoring was done. Financial records pre-2003 were archived in an old finance system to which there was limited access, , two compensation payments were never paid because permissions officers did not communicate with finance staff. Permissions staff signed contracts, yet finance staff never sent invoices.

Of the 261 concessions searched, approximately 15% asked for compensation. Among that 15%, a sample of 28 compensation conditions from 20 concessions was assessed. Of those 28, 68% achieved full compliance (score 1) and 32% achieved less than full compliance (score 0). Despite expectations that compliance on public conservation land would be higher than on private land (Dasgupta et al. 2000), our finding of 68% compliance under the Conservation Act is statistically indistinguishable from Brown’s (2013) finding of 65% under the RMA. The most common form of compensation requested was additional weed or pest control beyond that which DOC already performs. Other requirements included compensation payments to DOC, environmental premiums (payments intended to reflect the environmental impact of the concession activity on the land), planting, and species management programmes (i.e. management and monitoring of a particular species). Many of the compensation cases involved the exchange of dissimilar ecological values, such as weed control in exchange for the removal of habitat"
36,Comprehensive review of carbon quantification by improved forest management offset protocols,2023,review and discussion,carbon,NA,NA,NA,NA,NA,NA,NA,forest,Forest,improved forest management,Ecosystem Management,California ARB Offset Program; American Carbon Registry (ACR); Climate Action Reserve (CAR); Verra VCS,compliance; voluntary,project-based mechanism; registry/crediting system,active,subnational; national; international,USA; Global,CA Cap-and-Trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,physical; methodological,Climate and Environmental Disturbances; Systemic Oversights and Risk Management Gaps,Fire; Buffer Pool Shortfalls,"Project terms are highly variable across protocols, but even the longest term (100 years) does not constitute a truly permanent offset equivalent to reducing fossil fuel emissions. Forest credits used to offset fossil fuel emissions convert carbon permanently stored as fossil fuels into carbon stored in trees in the short-term carbon cycle. If the end of a project term represents a reversal event, then non-permanent carbon storage (like all IFM projects) can more accurately be understood as delaying, not fully neutralizing, emissions (Herzog et al., 2003). Decisions about the appropriate duration of carbon storage fundamentally depend on assumptions about the future, and academics have called the default choice of 100 years “political” (Archer et al., 2009; Allen et al., 2016). In practice, project terms in IFM projects can range from 1 to 100 years, and there is not yet a widely adopted framework for comparing these different terms. Even taking for granted that these projects do not represent permanent offsets, questions remain about whether the current approach (relying on buffer pools) can achieve the promised durability.
Three key limitations of buffer pools could critically undermine their usefulness. First, none of the reviewed protocols take climate change into account in estimating buffer pool allocations and so may not reflect increasing risks of reversal over decadal time scales. For example, the ARB protocol for U.S.-based projects includes a buffer allocation of 2–4% for fire, 3% for biotic risks, and 3% for “other episodic catastrophic events” (e.g., drought). However, because annual acreage of forest fires in the United States is projected to quadruple by the end of the century even under a moderate emissions scenario (Anderegg et al., 2022), current buffer pool allocations may prove insufficient on the basis of wildfire risk alone. If recent wildfire trends continue in the United States, the entirety of the buffer pool for existing ARB projects will be consumed well before its intended lifetime is up (Badgley et al., 2022a). The ACR and VCS protocols have similarly low buffer allocations for natural disturbances, although no systematic assessment of these buffer pools have been conducted in the academic literature. A proposed VCS risk calculation tool may remedy this by using Climatic Impact Drivers (CIDs) to project increased risk.2

Second, some registries may not have a sufficiently diversified offset portfolio to effectively mitigate risk through the buffer pool mechanism. Such systemic risks may arise when a large proportion of projects in a registry are similar and/or exist in a constrained geographic area or ecological type. For example, the ARB compliance offset pool, which is composed mostly of IFM projects entirely in the United States (Badgley et al., 2022b), may be exposed to systemic forest risks that decrease the efficacy of the buffer pool as a risk mitigation tool.

Third, a buffer pool is defined by the quality of its constituent credits. Buffer pools composed of low quality credits have little value. Extensive work has shown systematic issues with additionality, baselines, leakage, and carbon accounting for land-based offset projects across protocols (e.g., Haya, 2019; West et al., 2020; Badgley et al., 2022b). Further, the ACR protocol allows project developers to put credits into the buffer pool from any ACR project (not just the project under consideration), which creates a perverse incentive to fill the buffer pool with low-value, potentially non-additional credits."
37,Conservation after the fact: The prevalence of post-approval condition-setting in environmental impact assessment processes in Australia and its implications for achieving ecologically sustainable development outcomes,2023,legal and policy,biodiversity,Oceania,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia EPBC Act; Australia EPBC Offsets Policy,legislation; policy,Statutory law passed by a legislature.; Non-binding guidance or strategy.,national,Applies to a single country at federal level.,Australia,active,1999; 2012,Primary environmental legislation in Australia; includes provisions for biodiversity conservation and offsets under specific approvals.; Outlines how environmental offsets are implemented under the EPBC Act.,non-physical,"Compliance, Legal, and Governance Risks",Inadequate Policy Design,"The results of this study demonstrate that “process shift” post-approval condition-setting for offsets is a prevalent practice under the EPBC Act. The presence of post-approval conditioning, in 48% of all offsets in the 2011–17 period and 54% of offsets in the 2021 sample, illuminates the government's high reliance on such condition-setting in practice. Furthermore, there is notable consistency between the two study periods. These results challenge the speculation in EIA literature that governments may be motivated to streamline processes to stimulate economic growth during economic downturns (Morgan, 2012; Bond et al., 2014), as high rates of post-approval condition-setting occurred across a decade of uninterrupted economic growth in Australia. Streamlining EIA processes through the use of post-approval condition-setting may be a product of bureaucratic budget constraints. However, this study was conducted over a period where the Department experienced both high funding levels (in 2011) and significant budget cuts (in 2014–15) (see Morton, 2017), without significant differences in the rates of post-approval condition-setting. Rather, the consistency of the results, provides some preliminary evidence that post-approval condition-setting is an entrenched part of administrative practice under the EPBC Act. Whilst further research is needed into the causes of streamlining and post-approval condition-setting, this study indicates that potential contributing factors include ‘cognitive biases’ or ‘internal group learnings’ within EIA administration (Plous, 1993: 109–111)."
38,Conserve or convert? Pan-tropical modeling of REDD-bioenergy competition,2012,modeling,carbon,NA,NA,NA,NA,NA,NA,NA,tropical evergreen forest,Forest,avoided deforestation,Protection,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical,Socioeconomic and Equity Risks,"Incentive Misalignment, Opportunity Costs, and Landowner Behaviour","Fig. 1 and Table 2 display the extent and distribution of tropical evergreen forest with a positive NPV for the two biofuel crops and across regions. For the majority of the pan-tropical forest area—close to 60%—carbon pricing through, e.g., REDD+, does suffice to make deforestation unprofitable. However, for over 40% of the total pan-tropical evergreen forest area, the NPV of forest clearing for bioenergy plantations is positive even in the face of a carbon price on (avoided) emissions from deforestation; that is, bioenergy revenues more than offset the carbon cost of clearing (or foregone REDD+ earnings).

That climate policy induced demand for bioenergy can have a huge impact on future land use and land use change is already becoming evident. Here it has been shown that pricing the carbon emissions from deforestation—in the short term through an international REDD+ regime, in the longer run through tropical forest nations entering a climate regime with binding emission targets—can significantly alter the incentives for forest conservation vs. forest conversion to bioenergy plantations in the tropics. Still, for a substantial share of remaining evergreen tropical forests, carbon pricing alone does not suffice to make clearing unprofitable. Before discussing the implications of these results for conservation policy, other factors affecting the outcome of this analysis are deliberated upon."
39,Cost shifting and other perverse incentives in biodiversity offsetting in India,2018,legal and policy,biodiversity,Asia,India,NA,NA,NA,NA,NA,forest,Forest,afforestation,Creation,NA,NA,NA,NA,NA,NA,NA,Government-Delivered,India Forest Conservation Act; India Compensatory Afforestation Fund Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,India,active,1980; 2016,"Requires central approval for non-forest use of forest land and mandates compensatory afforestation as an offset mechanism.; Establishes a national fund and authority (CAMPA) to manage compensatory afforestation and net present value payments for diverted forest land, supporting afforestation, biodiversity conservation, and ecological restoration.",non-physical,"Compliance, Legal, and Governance Risks; Financial Risks; Socioeconomic and Equity Risks",Weak Governance and Enforcement; Financial Mismanagement and Failure; Land Tenure and Access Conflicts; Community Exclusion and Compensation Gaps,"Before 2002 the compensation funds collected from the user agencies were deposited directly with state governments, but in view of insufficient use of the funds and inadequate compensatory afforestation being carried out by the states, in 2002 the Supreme Court ordered (in the landmark case T.N. Godavarman Thirumalpad v. Union of India, 1995) the funds to be deposited in a centralized pool called the Compensatory Afforestation Fund (CAF). It also ordered the creation of a national-level authority called the Compensatory Funds Management and Planning Authority (CAMPA) for managing the funds and disbursing them to states. Upon receiving the funds, state governments (i.e., state forest departments) are expected to carry out the compensatory afforestation activity within 1 year or 2 growing seasons (CAG 2013).

Despite court orders, the central government failed to create CAMPA, even as funds kept accumulating in the CAF. In 2006, the apex court ordered the creation of an interim authority called the ad hoc CAMPA, with which the funds are presently held (Sridhar 2011; CAF Act 2016). A 2013 audit report of the Comptroller and Auditor General (CAG), India's apex auditor of government expenditure, detailed how due to its “provisional nature” the ad hoc CAMPA had failed to effectively oversee seamless use of compensation funds and reemphasized the need for “a permanent, independent authority to provide guidelines and direction” (CAG 2013:14). The report also noted that compensation funds have been misused by the states for nonpermissible items such as administrative expenditure, building and maintenance of infrastructure, and purchase of vehicles and fuel (CAG 2013).

With its aim to increase forest cover by 5 million ha and improve quality of forest cover on another 5 million ha (MOEF 2011), GIM is expected to cost INR46,000 crores (approximately US$6.9 billion) over 10 years. Launched in 2011, the GIM did not commence until 2014 due to a lack of funds (Firstpost 2013). At the inception of the mission, it was envisaged that the funds for its implementation (in addition to the planned budgetary outlay) would be mobilized through convergence with related greening and restoration schemes of MOEF and of other ministries, such as the Ministry of Rural development and the Ministry of New and Renewable Energy. In absence of a formal funding structure, funds from other schemes could not be sourced for the first 3 years (Firstpost 2013; MOEF 2014b). In 2014, an outlay of INR13,000 crores (about US$2 billion) was approved for 2014 to 2018. Only a fraction of this amount is to be met from new funding (planned budgetary outlay). Ad hoc CAMPA has been stipulated as one of the schemes from which the remaining funds would be mobilized. In an apparent case of cost shifting facilitated by the provisions of the CAF Act, INR6,000 crores (about US$900 million) held by CAMPA are stipulated to be diverted to the GIM (MOEF 2014b; CAF Act 2016).

The implementation of compensatory afforestation is also resulting in adverse socioeconomic impact on local communities in some parts of India. According to reports, due to paucity of non-forest areas available for afforestation, forest departments are carrying out compensatory afforestation on land on which forest-dwelling tribes have rights (either claimed or settled) under the Forest Rights Act (FRA) of 2006 (Agarwal & Kukreti 2017). The FCA allows compensatory afforestation to be carried out on zudpi jungle, chhote, bade jhar ka jungle, jungle-jhari land, and civil soyam (MOEF 2004) (a provision reiterated in ministry guidelines issued in November 2017 [MOEFCC 2017]), which are multiuse forest areas historically managed by forest-dwelling communities but classified as non-forest (Kohli & Menon 2017). In contrast, the FRA recognizes the community and individual rights of forest-dwelling communities (referred to as scheduled tribes and other forest dwellers) to access, manage, and govern such areas and prohibits, for example, planting or mining in such areas until these rights have been settled. Once the rights are settled, FRA requires the consent of the village council (gram sabha) before any activity is carried out. However, the CAF Act has bypassed the requirement of consent for carrying out compensatory afforestation (Shrivastava 2017). Forest departments are forcibly carrying out compensatory afforestation in areas where claims have been settled and titles have been issued and in areas where rights are yet to be settled (Agarwal & Kukreti 2017). Once compensatory afforestation is completed, the area is registered as reserved forest and brought under the jurisdiction of the state forest department, thus completely dispossessing traditional dwellers of their rights (Agarwal & Kukreti 2017)."
40,Creating Temporary Pools as Wetland Mitigation: How Well Do They Function?,2016,direct empirical,biodiversity,North America,United States of America,New York; Connecticut,State,Wood Frog; Spotted Salamander,Lithobates sylvaticus; Ambystoma maculatum,Amphibian,temporary freshwater pool; vernal pool; ephemeral pond; seasonal pond; woodland pond,Wetland,wetland creation; wetland restoration; temporary pool creation,Creation; Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,methodological; physical,Ecological Design and Implementation Failures; Climate and Environmental Disturbances,"Poor Ecological Design; Invasive Species, Insects, and Pathogens","Created pools were significantly smaller (326 ± 86 m2) than reference pools (588 ± 79 m2; Table 1). Created and reference pools did not differ in depth, area to depth ratio, or areal inputs of leaf litter (Table 1). Before leaf out, created pools received significantly more light than reference pools (Table 1). The trend was similar, but not significant, once leaves emerged on the trees (Table 1). Across the 2-year study, five of the seven created pools exhibited seasonal drying whereas all six reference pools dried.

Substrate type was similar among created and reference pools: the substrate was predominantly leaf litter, with some woody debris, and low amounts of rock and bare substrate (Table 2). Submerged aquatic plant and shrub cover were low and did not differ between created and reference pools (Table 2). Created pools had significantly more floating duckweed (Lemna sp.) than reference pools (Table 2). Additionally, while total emergent vegetation cover was similar among created and reference pools, the species differed. Both cattail (Typha latifolia and Typha angustifolia x latifolia) and common reed (Phragmites australis) cover were greater in created pools than reference pools, where neither species occurred (Table 2).Creating temporary pools to mitigate for destruction is common across northern and eastern North America. Yet the recipe for successfully creating temporary pools is far from complete, and our results have several important implications for improving pool construction. First, canopy cover and forest connectivity need to be considered during pool creation as they affect pool temperatures, food resources, and species occupancy. Secondly, we need to improve our ability to design pools with intermittent hydroperiods, which likely requires more research to better predict pool hydrology. Lastly, monitoring of created pools should be long-term (>3 years) and assess the physical, chemical, and biological parameters of pools and their interactions. While our study may be limited by the geographic distance among reference and created pools (~150 km), we believe the key findings of our study are broadly applicable to the temporary pools of glaciated northeastern North America. Furthermore, our findings provide clear directions for future studies to address the mechanisms underlying our observed patterns. Unraveling the causal mechanisms behind these trends will advance our knowledge and potential success in conserving these important resources. Overall, given our current knowledge, the ability of created pools to replicate the physical, chemical, and biological characteristics of reference pools is questionable."
41,Crediting peatland rewetting for carbon farming: some considerations amidst optimism,2025,modeling,carbon,NA,NA,NA,NA,NA,NA,NA,peatland,Wetland,peatland rewetting,Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,methodological,Ecological Design and Implementation Failures,Implementation Failures,"Water table drawdown during or after a rewetting project displaces GHG emissions into the future, meaning that rewetting projects that at some stage fail provide no climate benefit in the long run. This has important repercussions for the creditability of peatland projects and underpins that the value of peatland rewetting as a mitigation instrument strongly depends on successful and permanent implementation of a high water table.

Evaluating the atmospheric effect of different rewetting successes that take place over the first century but over much longer time scales gives a different picture: Over centuries, the atmospheric GHG load from all scenarios except for permanent rewetting will converge (Fig. 6). The convergence occurs because of the finite size of any peat deposit which implies a decrease of CO2 in the atmosphere after exhaustion of the source. This means that temporary rewetting represents a displaced emission without climate benefit in the long run. Table S1 details the corresponding difference in cumulative forcing. Whereas over 100 years of computation the duration of successful rewetting in the first century makes a difference, the benefit diminishes over 500 and 1000 years because of the onset of CO2 emission after water table drawdown until the peat deposit is fully oxidized."
42,Data transparency regarding the implementation of European ‘no net loss’ biodiversity policies,2018,direct empirical,biodiversity,Europe,France; Germany; Netherlands; Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Habitats Directive; France Biodiversity Law; Germany Nature Conservation Act; Netherlands Nature Protection Act; Sweden Environmental Code,directive; legislation; code,EU legal instrument binding member states to objectives.; Statutory law passed by a legislature.; Codified set of laws or regulations.,regional; national,Applies across multiple countries within a region.; Applies to a single country at federal level.,EU; France; Germany; Netherlands; Sweden,active; inactive,1992; 2016; 1976; 1998; 1999,"Requires Member States to ensure conservation of habitats and species; includes obligation for compensatory measures (offsets) under Article 6.4.; Codified offsetting rules and strengthened the mitigation hierarchy in France.; Established the Eingriffsregelung system, requiring avoidance, minimization, and ecological compensation (offsets) for significant impacts on nature and landscape.; Implemented aspects of the EU Habitats Directive, including provisions requiring compensation for impacts on protected areas; relevant precursor to biodiversity offset practice and no net loss policies in the Netherlands.; Comprehensive environmental legislation consolidating multiple acts, including provisions for ecological compensation and the application of the mitigation hierarchy.",non-physical,"Data, Transparency, and Capacity Issues",Limited Data Transparency,"For all four countries we studied, comprehensive information on offset projects is not yet systematically collated, digitised and disseminated on a national scale; and cannot be accessed remotely. There would likely be resource costs associated with improving offset data transparency. However, a conceptual pre-requisite for offsets is quantitative demonstration to stakeholders that biodiversity losses and gains associated with a development are balanced (BBOP (Business and Biodiversity Offsets Programme), 2012, Bull et al., 2013). Consequently, the cost burden of monitoring is no argument for non-transparency. While other European countries have implemented some offsets (e.g. Spain, UK), these four countries are considered leading practitioners in Europe for offset implementation (Tucker et al., 2014). Comprehensive assessment of these four nations alone thus likely captures a substantial proportion of all implemented offsets in Europe."
